tissueType	tumorType
Skin	Proliferating Pilar Cystic Tumor (PPCT)
Skin	Sebaceous Carcinoma (SEBA)
Skin	Skin Adnexal Carcinoma (SKAC)
Skin	Spiroma/Spiradenoma (SPIR)
Skin	Sweat Gland Adenocarcinoma (SGAD)
Skin	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma (AECA)
Soft Tissue	Aggressive Angiomyxoma (AA)
Soft Tissue	Alveolar Soft Part Sarcoma (ASPS)
Soft Tissue	Angiosarcoma (ANGS)
Soft Tissue	Clear Cell Sarcoma (CCS)
Soft Tissue	Dendritic Cell Sarcoma (DCS)
Soft Tissue	Desmoid/Aggressive Fibromatosis (DES)
Soft Tissue	Desmoplastic Small-Round-Cell Tumor (DSRCT)
Soft Tissue	Epithelioid Hemangioendothelioma (EHAE)
Soft Tissue	Epithelioid Sarcoma (EPIS)
Soft Tissue	Fibrosarcoma (FIBS)
Soft Tissue	Gastrointestinal Stromal Tumor (GIST)
Soft Tissue	Glomangiosarcoma (GS)
Soft Tissue	Hemangioma (HEMA)
Soft Tissue	Inflammatory Myofibroblastic Tumor (IMT)
Soft Tissue	Intimal Sarcoma (INTS)
Soft Tissue	Leiomyosarcoma (LMS)
Soft Tissue	Liposarcoma (LIPO)
Soft Tissue	Low-Grade Fibromyxoid Sarcoma (LGFMS)
Soft Tissue	Myofibroma (MF)
Soft Tissue	Myopericytoma (MPC)
Soft Tissue	Myxofibrosarcoma (MFS)
Soft Tissue	Myxoma (MYXO)
Soft Tissue	Paraganglioma (PGNG)
Soft Tissue	Perivascular Epithelioid Cell Tumor (PECOMA)
Soft Tissue	Pseudomyogenic Hemangioendothelioma (PMHE)
Soft Tissue	Radiation-Associated Sarcoma (RAS)
Soft Tissue	Rhabdomyosarcoma (RMS)
Soft Tissue	Round Cell Sarcoma, NOS (RCSNOS)
Soft Tissue	Sarcoma, NOS (SARCNOS)
Soft Tissue	Soft Tissue Myoepithelial Carcinoma (STMYEC)
Soft Tissue	Solitary Fibrous Tumor/Hemangiopericytoma (SFT)
Soft Tissue	Synovial Sarcoma (SYNS)
Soft Tissue	Tenosynovial Giant Cell Tumor Diffuse Type (TGCT)
Soft Tissue	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma (MFH)
Testis	Non-Seminomatous Germ Cell Tumor (NSGCT)
Testis	Seminoma (SEM)
Testis	Sex Cord Stromal Tumor (TSCST)
Testis	Testicular Lymphoma (TLYM)
Testis	Testicular Mesothelioma (TMESO)
Thymus	Thymic Epithelial Tumor (TET)
Thymus	Thymic Neuroendocrine Tumor (TNET)
Thyroid	Anaplastic Thyroid Cancer (THAP)
Thyroid	Hurthle Cell Thyroid Cancer (THHC)
Thyroid	Hyalinizing Trabecular Adenoma of the Thyroid (HTAT)
Thyroid	Medullary Thyroid Cancer (THME)
Thyroid	Poorly Differentiated Thyroid Cancer (THPD)
Thyroid	Well-Differentiated Thyroid Cancer (WDTC)
Uterus	Endometrial Carcinoma (UCEC)
Uterus	Gestational Trophoblastic Disease (GTD)
Uterus	Other Uterine Tumor (OUTT)
Uterus	Uterine Sarcoma/Mesenchymal (USARC)
Vulva/Vagina	Germ Cell Tumor of the Vulva (VGCT)
Vulva/Vagina	Mucinous Adenocarcinoma of the Vulva/Vagina (VMA)
Vulva/Vagina	Mucosal Melanoma of the Vulva/Vagina (VMM)
Vulva/Vagina	Poorly Differentiated Vaginal Carcinoma (VPDC)
Vulva/Vagina	Squamous Cell Carcinoma of the Vulva/Vagina (VSC)
Vulva/Vagina	Vaginal Adenocarcinoma (VA)
Ampulla of Vater	Intestinal Ampullary Carcinoma (IAMPCA)
Ampulla of Vater	Mixed Ampullary Carcinoma (MAMPCA)
Ampulla of Vater	Pancreatobiliary Ampullary Carcinoma (PAMPCA)
Biliary Tract	Extrahepatic Cholangiocarcinoma (EHCH)
Biliary Tract	Intrahepatic Cholangiocarcinoma (IHCH)
Biliary Tract	Perihilar Cholangiocarcinoma (PHCH)
Bladder/Urinary Tract	Urachal Adenocarcinoma (UA)
Bladder/Urinary Tract	Urethral Adenocarcinoma (UAD)
Bladder/Urinary Tract	Urethral Squamous Cell Carcinoma (USCC)
Bladder/Urinary Tract	Urethral Urothelial Carcinoma (UCU)
Blood	Langerhans Cell Histiocytosis (LCH)
Blood	Non-Langerhans Cell Histiocytosis/Erdheim-Chester Disease (ECD)
Blood	Acute Lymphoid Leukemia (ALL)
Blood	Acute Monocytic Leukemia (AMOL)
Blood	Acute Myeloid Leukemia (AML)
Blood	Chronic Lymphocytic Leukemia (CLL)
Blood	Chronic Myelogenous Leukemia (CML)
Blood	Chronic Myelomonocytic Leukemia (CMML)
Blood	Hairy Cell Leukemia (HCL)
Blood	Large Granular Lymphocytic Leukemia (LGLL)
Blood	Essential Thrombocythaemia (ETC)
Blood	Myelofibrosis/Osteomyelofibrosis (MYF)
Blood	Polycythemia Vera (PCV)
Bone	Dedifferentiated Chondrosarcoma (DDCHS)
Bone	Extraskeletal Myxoid Chondrosarcoma (EMCHS)
Bone	Mesenchymal Chondrosarcoma (MCHS)
Bone	Myxoid Chondrosarcoma (MYCHS)
Bone	Conventional Type Chordoma (CCHDM)
Bone	Dedifferentiated Chordoma (DDCHDM)
Bone	Chondroblastic Osteosarcoma (CHOS)
Bone	Fibroblastic Osteosarcoma (FIOS)
Bone	High-Grade Surface Osteosarcoma (HGSOS)
Bone	Low-Grade Central Osteosarcoma (LGCOS)
Bone	Osteoblastic Osteosarcoma (OSOS)
Bone	Parosteal Osteosarcoma (PAOS)
Bone	Periosteal Osteosarcoma (PEOS)
Bone	Secondary Osteosarcoma (SECOS)
Bone	Small Cell Osteosarcoma (SCOS)
Bone	Telangiectatic Osteosarcoma (TEOS)
Bowel	Colonic Type Adenocarcinoma of the Appendix (CTAAP)
Bowel	Goblet Cell Carcinoid of the Appendix (GCCAP)
Bowel	Mucinous Adenocarcinoma of the Appendix (MAAP)
Bowel	Signet Ring Cell Type of the Appendix (SRAP)
Bowel	Colon Adenocarcinoma (COAD)
Bowel	Colon Adenocarcinoma In Situ (CAIS)
Bowel	Mucinous Adenocarcinoma of the Colon and Rectum (MACR)
Bowel	Rectal Adenocarcinoma (READ)
Bowel	Signet Ring Cell Adenocarcinoma of the Colon and Rectum (SRCCR)
Bowel	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum (HGNEC)
Bowel	Small Bowel Well-Differentiated Neuroendocrine Tumor (SBWDNET)
Bowel	Well-Differentiated Neuroendocrine Tumor of the Appendix (AWDNET)
Bowel	Well-Differentiated Neuroendocrine Tumor of the Rectum (RWDNET)
Bowel	Well-Differentiated Neuroendocrine Tumors of the Stomach (SWDNET)
Bowel	Duodenal Adenocarcinoma (DA)
Breast	Paget Disease of the Nipple (PD)
Breast	Fibroadenoma (FA)
Breast	Phyllodes Tumor of the Breast (PT)
Breast	Breast Angiosarcoma (BA)
Breast	Adenoid Cystic Breast Cancer (ACBC)
Breast	Breast Carcinoma with Signet Ring (BRSRCC)
Breast	Breast Invasive Cancer, NOS (BRCANOS)
Breast	Breast Invasive Carcinoma, NOS (BRCNOS)
Breast	Breast Invasive Carcinosarcoma, NOS (CSNOS)
Breast	Breast Invasive Ductal Carcinoma (IDC)
Breast	Breast Invasive Lobular Carcinoma (ILC)
Breast	Breast Invasive Mixed Mucinous Carcinoma (IMMC)
Breast	Breast Mixed Ductal and Lobular Carcinoma (MDLC)
Breast	Solid Papillary Carcinoma of the Breast (SPC)
Breast	Epithelial Type Metaplastic Breast Cancer (EMBC)
Breast	Mixed Type Metaplastic Breast Cancer (MMBC)
CNS/Brain	Atypical Choroid Plexus Papilloma (ACPP)
CNS/Brain	Choroid Plexus Carcinoma (CPC)
CNS/Brain	Choroid Plexus Papilloma (CPP)
CNS/Brain	Anaplastic Astrocytoma (AASTR)
CNS/Brain	Anaplastic Oligoastrocytoma (AOAST)
CNS/Brain	Anaplastic Oligodendroglioma (AODG)
CNS/Brain	Astrocytoma (ASTR)
CNS/Brain	Diffuse Astrocytoma (DASTR)
CNS/Brain	Diffuse Intrinsic Pontine Glioma (DIPG)
CNS/Brain	Glioblastoma (GB)
CNS/Brain	Glioma, NOS (GNOS)
CNS/Brain	High-Grade Glioma, NOS (HGGNOS)
CNS/Brain	Oligoastrocytoma (OAST)
CNS/Brain	Oligodendroglioma (ODG)
CNS/Brain	Atypical Teratoid/Rhabdoid Tumor (ATRT)
CNS/Brain	Desmoplastic/Nodular Medulloblastoma (DMBL)
CNS/Brain	Embryonal Tumor with Abundant Neuropil and True Rosettes (ETANTR)
CNS/Brain	Ganglioneuroblastoma (GNBL)
CNS/Brain	Large Cell/Anaplastic Medulloblastoma (AMBL)
CNS/Brain	Medulloblastoma (MBL)
CNS/Brain	Medulloblastoma with Extensive Nodularity (MBEN)
CNS/Brain	Medulloepithelioma (MDEP)
CNS/Brain	Medullomyoblastoma (MMB)
CNS/Brain	Melanotic Medulloblastoma (MMBL)
CNS/Brain	Neuroblastoma (NBL)
CNS/Brain	Olfactory Neuroblastoma (ONBL)
CNS/Brain	Primitive Neuroectodermal Tumor (PNET)
CNS/Brain	Anaplastic Ganglioglioma (AGNG)
CNS/Brain	Anaplastic Pleomorphic Xanthoastrocytoma (APXA)
CNS/Brain	Dysembryoplastic Neuroepithelial Tumor (DNT)
CNS/Brain	Gangliocytoma (GNC)
CNS/Brain	Ganglioglioma (GNG)
CNS/Brain	Low-Grade Glioma, NOS (LGGNOS)
CNS/Brain	Pilocytic Astrocytoma (PAST)
CNS/Brain	Pilomyxoid Astrocytoma (PMA)
CNS/Brain	Pleomorphic Xanthoastrocytoma (PXA)
CNS/Brain	Anaplastic Ependymoma (APE)
CNS/Brain	Clear Cell Ependymoma (CCE)
CNS/Brain	Ependymoma (EPM)
CNS/Brain	Myxopapillary Ependymoma (MPE)
CNS/Brain	Subependymoma (SUBE)
CNS/Brain	Choriocarcinoma (BCCA)
CNS/Brain	Embryonal Carcinoma (BEC)
CNS/Brain	Germinoma (GMN)
CNS/Brain	Immature Teratoma (BIMT)
CNS/Brain	Malignant Teratoma (BMGT)
CNS/Brain	Mature Teratoma (BMT)
CNS/Brain	Mixed Germ Cell Tumor (BMGCT)
CNS/Brain	Yolk Sac Tumor (BYST)
CNS/Brain	Anaplastic Meningioma (ANM)
CNS/Brain	Atypical Meningioma (ATM)
CNS/Brain	Chordoid Meningioma (CHOM)
CNS/Brain	Clear cell Meningioma (CCM)
CNS/Brain	Hemangiopericytoma of the Central Nervous System (HPCCNS)
CNS/Brain	Meningioma (MNG)
CNS/Brain	Papillary Meningioma (PPM)
CNS/Brain	Rhabdoid Meningioma (RHM)
CNS/Brain	Solitary Fibrous Tumor of the Central Nervous System (SFTCNS)
CNS/Brain	Hemangioblastoma (HMBL)
CNS/Brain	High-Grade Neuroepithelial Tumor (HGNET)
CNS/Brain	Low-Grade Neuroepithelial Tumor (LGNET)
CNS/Brain	Malignant Lymphoma (MLYM)
CNS/Brain	Malignant Tumor (MT)
CNS/Brain	Mesenchymal Chondrosarcoma of the CNS (MCHSCNS)
CNS/Brain	Primary Brain Tumor (PBT)
CNS/Brain	Primary Neuroepithelial Tumor (PRNET)
CNS/Brain	Angiocentric Glioma (ANGL)
CNS/Brain	Astroblastoma (ASTB)
CNS/Brain	Central Neurocytoma (CNC)
CNS/Brain	Cerebellar Liponeurocytoma (CLNC)
CNS/Brain	Chordoid Glioma of the Third Ventricle (CHGL)
CNS/Brain	Desmoplastic Infantile Astrocytoma (DIA)
CNS/Brain	Desmoplastic Infantile Ganglioglioma (DIG)
CNS/Brain	Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease (LDD)
CNS/Brain	Extraventricular Neurocytoma (EVN)
CNS/Brain	Papillary Glioneuronal Tumor (PGNT)
CNS/Brain	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle (RGNT)
CNS/Brain	Papillary Tumor of the Pineal Region (PTPR)
CNS/Brain	Pineal Parenchymal Tumor of Intermediate Differentiation (PPTID)
CNS/Brain	Pineoblastoma (PBL)
CNS/Brain	Pineocytoma (PINC)
CNS/Brain	Atypical Pituitary Adenoma (APTAD)
CNS/Brain	Craniopharyngioma, Adamantinomatous Type (ACPG)
CNS/Brain	Craniopharyngioma, Papillary Type (PCGP)
CNS/Brain	Granular Cell Tumor (GCT)
CNS/Brain	Pituicytoma (PTCY)
CNS/Brain	Pituitary Adenoma (PTAD)
CNS/Brain	Pituitary Carcinoma (PTCA)
CNS/Brain	Spindle Cell Oncocytoma of the Adenohypophysis (SCOAH)
Cervix	Cervical Clear Cell Carcinoma (CECC)
Cervix	Cervical Endometrioid Carcinoma (CEEN)
Cervix	Cervical Serous Carcinoma (CESE)
Cervix	Endocervical Adenocarcinoma (ECAD)
Cervix	Mesonephric Carcinoma (CEMN)
Cervix	Mucinous Carcinoma (CEMU)
Cervix	Villoglandular Carcinoma (CEVG)
Esophagus/Stomach	Adenocarcinoma of the Gastroesophageal Junction (GEJ)
Esophagus/Stomach	Adenosquamous Carcinoma of the Stomach (STAS)
Esophagus/Stomach	Esophageal Adenocarcinoma (ESCA)
Esophagus/Stomach	Gastric Remnant Adenocarcinoma (GRC)
Esophagus/Stomach	Small Cell Carcinoma of the Stomach (STSC)
Esophagus/Stomach	Stomach Adenocarcinoma (STAD)
Esophagus/Stomach	Undifferentiated Stomach Adenocarcinoma (USTAD)
Eye	Conjunctival Melanoma (CM)
Eye	Uveal Melanoma (UM)
Head and Neck	Epithelial-Myoepithelial Carcinoma (EMYOCA)
Head and Neck	Head and Neck Neuroendocrine Carcinoma (HNNE)
Head and Neck	NUT Midline Carcinoma of the Head and Neck (NMCHN)
Head and Neck	Odontogenic Carcinoma (ODGC)
Head and Neck	Sinonasal Adenocarcinoma (SNA)
Head and Neck	Sinonasal Undifferentiated Carcinoma (SNUC)
Head and Neck	Head and Neck Squamous Cell Carcinoma of Unknown Primary (HNSCUP)
Head and Neck	Hypopharynx Squamous Cell Carcinoma (HPHSC)
Head and Neck	Larynx Squamous Cell Carcinoma (LXSC)
Head and Neck	Oral Cavity Squamous Cell Carcinoma (OCSC)
Head and Neck	Oropharynx Squamous Cell Carcinoma (OPHSC)
Head and Neck	Sinonasal Squamous Cell Carcinoma (SNSC)
Head and Neck	Acinic Cell Carcinoma (ACCC)
Head and Neck	Adenoid Cystic Carcinoma (ACYC)
Head and Neck	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin (HNMASC)
Head and Neck	Mucoepidermoid Carcinoma (MUCC)
Head and Neck	Myoepithelial Carcinoma (MYEC)
Head and Neck	Salivary Adenocarcinoma (SAAD)
Head and Neck	Salivary Carcinoma, Other (OSACA)
Head and Neck	Salivary Duct Carcinoma (SDCA)
Head and Neck	Salivary Gland Oncocytoma (SGO)
Kidney	Renal Clear Cell Carcinoma (CCRCC)
Kidney	Renal Non-Clear Cell Carcinoma (NCCRCC)
Kidney	Rhabdoid Cancer (MRT)
Lung	Atypical Lung Carcinoid (ALUCA)
Lung	Large Cell Neuroendocrine Carcinoma (LUNE)
Lung	Lung Carcinoid (LUCA)
Lung	Small Cell Lung Cancer (SCLC)
Lung	Ciliated Muconodular Papillary Tumor of the Lung (CMPT)
Lung	Large Cell Lung Carcinoma (LCLC)
Lung	Lung Adenocarcinoma (LUAD)
Lung	Lung Adenosquamous Carcinoma (LUAS)
Lung	Lung Squamous Cell Carcinoma (LUSC)
Lung	Pleomorphic Carcinoma of the Lung (LUPC)
Lung	Poorly Differentiated Non-Small Cell Lung Cancer (NSCLCPD)
Lung	Salivary Gland–Type Tumor of the Lung (SGTTL)
Lung	Spindle Cell Carcinoma of the Lung (SpCC)
Lymph	Classical Hodgkin Lymphoma (CHL)
Lymph	Nodular Lymphocyte-Predominant Hodgkin Lymphoma (NLPHL)
Lymph	B-Cell Lymphoma (BCL)
Lymph	T-Cell and Natural Killer Lymphoma (TNKL)
Other	Acinar Cell Carcinoma, NOS (ACN)
Other	Adenocarcinoma, NOS (ADNOS)
Other	Cancer of Unknown Primary, NOS (CUPNOS)
Other	Mixed Cancer Types (MIXED)
Other	Neuroendocrine Carcinoma, NOS (NECNOS)
Other	Neuroendocrine Tumor, NOS (NETNOS)
Other	Poorly Differentiated Carcinoma, NOS (PDC)
Other	Small Cell Carcinoma of Unknown Primary (SCUP)
Other	Squamous Cell Carcinoma, NOS (SCCNOS)
Other	Undifferentiated Malignant Neoplasm (UDMN)
Ovary/Fallopian Tube	High-Grade Neuroendocrine Carcinoma of the Ovary (HGONEC)
Ovary/Fallopian Tube	Brenner Tumor (BTOV)
Ovary/Fallopian Tube	Clear Cell Borderline Ovarian Tumor (CCBOV)
Ovary/Fallopian Tube	Clear Cell Ovarian Cancer (CCOV)
Ovary/Fallopian Tube	Endometrioid Borderlin Ovarian Tumor (EBOV)
Ovary/Fallopian Tube	Endometrioid Ovarian Cancer (EOV)
Ovary/Fallopian Tube	Mixed Ovarian Carcinoma (MXOV)
Ovary/Fallopian Tube	Mucinous Borderline Ovarian Tumor (MBOV)
Ovary/Fallopian Tube	Mucinous Ovarian Cancer (MOV)
Ovary/Fallopian Tube	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor (OCS)
Ovary/Fallopian Tube	Ovarian Seromucinous Adenoma (OSMAD)
Ovary/Fallopian Tube	Ovarian Seromucinous Borderline Tumor (OSMBT)
Ovary/Fallopian Tube	Ovarian Seromucinous Carcinoma (OSMCA)
Ovary/Fallopian Tube	Serous Borderline Ovarian Tumor (SBOV)
Ovary/Fallopian Tube	Serous Borderline Ovarian Tumor, Micropapillary (SBMOV)
Ovary/Fallopian Tube	Serous Ovarian Cancer (SOC)
Ovary/Fallopian Tube	Small Cell Carcinoma of the Ovary (SCCO)
Ovary/Fallopian Tube	Dysgerminoma (ODYS)
Ovary/Fallopian Tube	Embryonal Carcinoma (OEC)
Ovary/Fallopian Tube	Immature Teratoma (OIMT)
Ovary/Fallopian Tube	Mature Teratoma (OMT)
Ovary/Fallopian Tube	Mixed Germ Cell Tumor (OMGCT)
Ovary/Fallopian Tube	Polyembryoma (OPE)
Ovary/Fallopian Tube	Yolk Sac Tumor (OYST)
Ovary/Fallopian Tube	Fibrothecoma (FT)
Ovary/Fallopian Tube	Gonadoblastoma (OGBL)
Ovary/Fallopian Tube	Granulosa Cell Tumor (GRCT)
Ovary/Fallopian Tube	Sertoli-Leydig Cell Tumor (SLCT)
Ovary/Fallopian Tube	Steroid Cell Tumor, NOS (SCT)
Pancreas	Intraductal Papillary Mucinous Neoplasm (IPMN)
Pancreas	Mucinous Cystic Neoplasm (MCN)
Pancreas	Serous Cystadenoma of the Pancreas (PSC)
Penis	Basaloid Penile Squamous Cell Carcinoma (BPSCC)
Penis	Verrucous Penile Squamous Cell Carcinoma (VPSCC)
Penis	Warty Penile Squamous Cell Carcinoma (WPSCC)
Peripheral Nervous System	Malignant Peripheral Nerve Sheath Tumor (MPNST)
Peripheral Nervous System	Neurofibroma (NFIB)
Peripheral Nervous System	Schwannoma (SCHW)
Pleura	Pleural Mesothelioma, Biphasic Type (PLBMESO)
Pleura	Pleural Mesothelioma, Epithelioid Type (PLEMESO)
Pleura	Pleural Mesothelioma, Sarcomatoid Type (PLSMESO)
Skin	Acral Melanoma (ACRM)
Skin	Congenital Nevus (SKCN)
Skin	Cutaneous Melanoma (SKCM)
Skin	Desmoplastic Melanoma (DESM)
Skin	Lentigo Maligna Melanoma (SKLMM)
Skin	Melanoma of Unknown Primary (MUP)
Soft Tissue	Follicular Dendritic Cell Sarcoma (FDCS)
Soft Tissue	Histiocytic Dendritic Cell Sarcoma (HDCS)
Soft Tissue	Interdigitating Dendritic Cell Sarcoma (IDCS)
Soft Tissue	Proximal-Type Epithelioid Sarcoma (PTES)
Soft Tissue	Sclerosing Epithelioid Fibrosarcoma (SEF)
Soft Tissue	Dedifferentiated Liposarcoma (DDLS)
Soft Tissue	Myxoid/Round-Cell Liposarcoma (MRLS)
Soft Tissue	Pleomorphic Liposarcoma (PLLS)
